siret,siren,nom_entreprise,nom_dirigeant,naf_code,naf_libelle,adresse,code_postal,ville,departement,site_web,email,telephone,effectif,date_creation,nature_juridique,priorite,source,date_collecte
75155899000014,751558990,EURO BATIMENT,FILES,43.34Z,43.34Z,16 RUE DE L'ECHIQUIER 75010 PARIS,75010,PARIS,75,,,,NN,2012-05-02,5499,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
81857886600019,818578866,ETABLISSEMENTS BERNIER PERE ET FILS,BELHASSEN,43.34Z,43.34Z,4 RUE FAYS 94160 SAINT-MANDE,94160,SAINT-MANDE,94,,,,NN,2016-02-20,5499,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
82362990200011,823629902,ABRAHAM PERE ET FILS,COHEN,43.34Z,43.34Z,233 RUE DU FAUBOURG SAINT-MARTIN 75010 PARIS,75010,PARIS,75,,,,NN,2016-10-26,5499,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
50194961400017,501949614,S.P. BATIMENT,,43.34Z,43.34Z,IMEUBLE D 49/51 49 RUE DE PONTHIEU 75008 PARIS,75008,PARIS,75,,,,NN,2008-01-09,5499,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
52095638400058,520956384,MCV BAT,HAMOUCHE,43.34Z,43.34Z,125 RUE LAMARCK 75018 PARIS,75018,PARIS,75,,,,NN,2010-03-04,5499,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
83979261100080,839792611,UNI VERRE IDF (MIROITERIE UNI-VERRE),MARCOT (MARCOT),43.34Z,43.32A,10 ROUTE D'ARPAJON 91630 AVRAINVILLE,91630,AVRAINVILLE,91,,,,01,2018-05-18,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
30186112600052,301861126,CHANEL SAS,AUBRY,43.34Z,43.34Z,12 RUE DE L'INDUSTRIE 69200 VENISSIEUX,69200,VENISSIEUX,69,,,,22,1975-01-01,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
81400334900010,814003349,ATELIER CAMUSET (ATELIER CAMUSET-ATELIER CAMUSET PEINTURE DECORATIVE-ENTREPRISE CAMUSET),C.CAMUSET PATRIMOINE,43.34Z,43.34Z,21 B RUE PIERRE LEROUX 75007 PARIS,75007,PARIS,75,,,,02,2015-07-01,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
83983416500038,839834165,PAINT CONCEPT CONSTRUCTION,ZDL FINANCE,43.34Z,43.34Z,PEPINIERE D'ENTRE SYNERGIE ZI STE A RUE LAVOISIER 57190 FLORANGE,57190,FLORANGE,57,,,,11,2018-05-02,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
33441600500067,334416005,AGENCE COMMERCIALE ECONOMIE ENERGIE (ACEE),LECOQ,43.34Z,46.74B,POLE ECONOMIQUE DES RENARDIERES 5 RUE MONTCHAVANT 77250 MORET-LOING-ET-ORVANNE,77250,MORET-LOING-ET-ORVANNE,77,,,,12,1986-01-01,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
34274933000011,342749330,FERNANDO DA PIEDADE,DA PIEDADE,43.34Z,70.10Z,21 B RUE DU SIMPLON 75018 PARIS,75018,PARIS,75,,,,NN,1987-10-19,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
49280176600014,492801766,SALKY EXPRESS,MOUTTAKI (MOUTTAKI),43.34Z,43.34Z,EVRY 8 RUE MONTESPAN 91000 EVRY-COURCOURONNES,91000,EVRY-COURCOURONNES,91,,,,NN,2006-11-27,5499,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
41146658400017,411466584,CARLOS JEAN LOUIS,JEAN LOUIS,43.34Z,43.34Z,TAXIDOM 35 RUE MONTGALLET 75012 PARIS,75012,PARIS,75,,,,NN,1997-04-14,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
41842688800024,418426888,JULIAN ENTREPRISE GENERALE DE PEINTURE,LIVAN,43.34Z,43.34Z,5 B RUE NOBEL 75018 PARIS,75018,PARIS,75,,,,02,1998-04-07,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
53849133300042,538491333,MON CONCEPT HABITATION (MCH),GAFFORY,43.34Z,43.34Z,6 RUE DES PETITS HOTELS 75010 PARIS,75010,PARIS,75,,,,12,2011-11-30,5499,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
57207377300077,572073773,CHARLES COSTA,TARABAY & CO,43.34Z,70.10Z,30 RUE DU BOIS GALON 94120 FONTENAY-SOUS-BOIS,94120,FONTENAY-SOUS-BOIS,94,,,,12,1957-01-01,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
50416540800056,504165408,IOAN MARIS (IOBAT),MARIS (MARIS),43.34Z,43.34Z,32 RUE CHAUVEAU 92200 NEUILLY-SUR-SEINE,92200,NEUILLY-SUR-SEINE,92,,,,NN,2008-08-01,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-17
