siret,siren,nom_entreprise,nom_dirigeant,naf_code,naf_libelle,adresse,code_postal,ville,departement,site_web,email,telephone,effectif,date_creation,nature_juridique,priorite,source,date_collecte
57368016200464,573680162,ALTRAD PREZIOSO (ALTRAD PREZIOSO),DOUCHET,43.34Z,43.34Z,105 CHEMIN DE GARENNE 38670 CHASSE-SUR-RHONE,38670,CHASSE-SUR-RHONE,38,,,,41,1957-01-01,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
51817624300054,518176243,NJE,AUDIT CPR,43.34Z,43.34Z,285 RUE DE LA FONT DE L’OR 42110 CLEPPE,42110,CLEPPE,42,,,,12,2009-11-10,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
37823006400016,378230064,BERNARD DEBOEUF,DEBOEUF (DEBOEUF),43.34Z,43.34Z,310 QUAI DES REMPARTS 01120 MONTLUEL,01120,MONTLUEL,01,,,,NN,1990-06-05,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
43924357700012,439243577,LIONEL ROLANDEZ,ROLANDEZ (ROLANDEZ),43.34Z,43.34Z,LE CHAPELON 01410 LELEX,01410,LELEX,01,,,,01,2001-10-02,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
75198306500010,751983065,BONNET OLIVIER,BONNET,43.34Z,43.34Z,55 ALLEE BATAILLARD 2 01800 RIGNIEUX-LE-FRANC,01800,RIGNIEUX-LE-FRANC,01,,,,NN,2012-06-01,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
47921313400022,479213134,FREDERIC CHERRIER (SPRAYDECOR),CHERRIER (CHERRIER),43.34Z,43.34Z,220 GRANDE RUE 01600 MISERIEUX,01600,MISERIEUX,01,,,,NN,2004-10-20,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
48426824800016,484268248,MICHAEL ALAMERCERY,ALAMERCERY (ALAMERCERY),43.34Z,43.34Z,BEL AIR 01400 CHATILLON-SUR-CHALARONNE,01400,CHATILLON-SUR-CHALARONNE,01,,,,NN,2005-10-01,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
85330419400014,853304194,DIOGO XAVIER,XAVIER (XAVIER),43.34Z,43.34Z,393 ALLEE DES EGLANTIERS 01440 VIRIAT,01440,VIRIAT,01,,,,NN,2019-10-01,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
50446839800020,504468398,GENERATION DECO,GIANOLI (GIANOLI),43.34Z,43.34Z,5 IMPASSE DES COMBES 01460 MONTREAL-LA-CLUSE,01460,MONTREAL-LA-CLUSE,01,,,,01,2008-06-01,5499,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
51959742100030,519597421,NOLWENN JOUANARD,JOUANARD (JOUANARD),43.34Z,68.31Z,74 RUE CHANTEPERDRIX 01600 TREVOUX,01600,TREVOUX,01,,,,NN,2010-02-01,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
88526512400010,885265124,AIN TERRE POLE 01 (AIN TERRE POLE 01),PADY-SAKALA,43.34Z,43.34Z,801 CHEMIN DE LA RAVARY 01250 MONTAGNAT,01250,MONTAGNAT,01,,,,01,2020-08-03,5710,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
79247443900025,792474439,HICHAM ALINI,ALINI (ALINI),43.34Z,43.34Z,596 RUE DE DOMBES 01330 VILLARS-LES-DOMBES,01330,VILLARS-LES-DOMBES,01,,,,NN,2012-12-01,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
42013584000015,420135840,JEAN GHISALBERTI,GHISALBERTI,43.34Z,43.34Z,4 RUE DE LA FAUCILLE 74100 ANNEMASSE,74100,ANNEMASSE,74,,,,NN,1998-10-05,1000,P1,API Recherche Entreprises / INSEE Sirene,2026-05-09
